Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Yorba,7/20/2021,Double Surrey,Popped tire,,,Done,,1,Ruben,Down,7/24/2021,Jonathan Soliz,,,,,,
Yorba,7/20/2021,Double Surrey,Brake cable fraying,,,,,2,Nathan,,7/20/2021,Robert Mounce,,,,,,
Yorba,7/20/2021,Double Surrey,Broken front wheel,,,Needs to be Ordered,https://www.notion.so/Surrey-Front-Rim-358691b2b5944ca4ab5357e455a5c75b,6,Ruben,Down,7/28/2021,Robert Mounce,,,,1,,1
Waterfront,7/20/2021,Cruiser,Popped tire,,,Done,,1,Jonathan.,Down,7/20/2021,Jonathan Soliz,,,,,,
Waterfront,7/20/2021,Cruiser,Popped tire,,,Done,,7,Jonathan,Down,7/20/2021,Jonathan Soliz,,,,,,
Edinger,7/22/2021,Double Surrey,Driver front side chain skipping,,,,,5,Norma,,7/22/2021,Robert Mounce,,,,,,
Yorba,7/23/2021,Quad Sport,Chain loose,,,,,4,Angel,Down,7/23/2021,Robert Mounce,,,,,,
Waterfront,7/23/2021,Single Surrey,Broken peddle on the right side,,,Done,,6,Angelique,Down,7/26/2021,Robert Mounce,,,,,,
Waterfront,7/23/2021,Single Surrey,Front flat tire passenger side,,,Done,,4,Ally,Down,7/26/2021,Robert Mounce,,,,,,
Waterfront,7/24/2021,Cruiser,Broken chain,,,,,5 (it’s faded),Jazmeen,Mechanics Attention,7/24/2021,Google Forms to Notion,,,,,,
Edinger,7/24/2021,Single Surrey,Pedal fell off,,,"Done, Planned",,7,Edwin,Down,8/12/2021,Robert Mounce,Robert Mounce,"July 27, 2021 10:30 AM-11:00 AM",,,,
Waterfront,7/24/2021,Double Surrey,Brake needs to be tightened,,,,,2,Angelique Gonzales,Mechanics Attention,7/24/2021,Google Forms to Notion,,,,,,
Warner,7/25/2021,Double Surrey,Front Driver Sprocket Replacement,Front sprocket reply,,Planned,,8483,Coco,Down,7/28/2021,Robert Mounce,,,,,,
